TimeStep,Speed,Acceleration,Heading,HeadingChange,Latitude,Longitude,Future Latitude,Future Longitude
659,29,0.0,84.0,0,39.980572,-82.953895,39.980575,-82.953735
660,29,-0.28,84.0,0,39.980575,-82.953735,39.980582,-82.953587
661,24,-1.94,84.0,0,39.980582,-82.953587,39.980602,-82.953477
662,21,-1.39,84.0,0,39.980602,-82.953477,39.980603,-82.953347
663,20,-0.56,90.0,6,39.980603,-82.953347,39.9806,-82.95325
664,19,-0.28,90.0,0,39.9806,-82.95325,39.9806,-82.95313
665,19,-0.28,90.0,0,39.9806,-82.95313,39.9806,-82.953015
666,21,0.83,90.0,0,39.9806,-82.953015,39.9806,-82.952902
667,22,0.56,90.0,0,39.9806,-82.952902,39.980602,-82.952782
668,24,0.83,84.0,6,39.980602,-82.952782,39.980605,-82.952655
669,24,0.28,84.0,0,39.980605,-82.952655,39.980615,-82.952543
670,26,0.83,84.0,0,39.980615,-82.952543,39.980618,-82.952423
671,26,0.0,84.0,0,39.980618,-82.952423,39.980608,-82.952305
672,28,0.83,90.0,6,39.980608,-82.952305,39.98062,-82.95218
673,29,0.56,84.0,6,39.98062,-82.95218,39.98063,-82.952032
674,30,0.56,84.0,0,39.98063,-82.952032,39.980647,-82.95188
675,31,0.28,84.0,0,39.980647,-82.95188,39.980658,-82.951718
676,32,0.28,84.0,0,39.980658,-82.951718,39.980672,-82.951572
677,32,0.0,84.0,0,39.980672,-82.951572,39.98068,-82.951427
678,32,0.28,84.0,0,39.98068,-82.951427,39.980695,-82.951272
679,32,-0.28,84.0,0,39.980695,-82.951272,39.980708,-82.951107
680,31,-0.28,84.0,0,39.980708,-82.951107,39.980723,-82.950945
681,31,0.0,84.0,0,39.980723,-82.950945,39.980735,-82.950775
682,32,0.56,84.0,0,39.980735,-82.950775,39.980748,-82.950607
683,34,0.83,84.0,0,39.980748,-82.950607,39.98076,-82.950433
684,36,0.83,84.0,0,39.98076,-82.950433,39.98077,-82.950248
685,37,0.28,84.0,0,39.98077,-82.950248,39.980778,-82.950055
686,39,0.83,84.0,0,39.980778,-82.950055,39.980788,-82.949853
687,40,0.56,84.0,0,39.980788,-82.949853,39.980795,-82.949652
688,42,0.83,84.0,0,39.980795,-82.949652,39.980795,-82.949423
689,42,0.28,84.0,0,39.980795,-82.949423,39.980793,-82.949188
690,42,0.0,84.0,0,39.980793,-82.949188,39.980797,-82.948962
691,42,0.0,84.0,0,39.980797,-82.948962,39.980798,-82.948735
692,43,0.28,84.0,0,39.980798,-82.948735,39.980803,-82.94851
693,43,0.28,84.0,0,39.980803,-82.94851,39.980803,-82.948278
694,44,0.28,84.0,0,39.980803,-82.948278,39.980808,-82.948045
695,45,0.28,84.0,0,39.980808,-82.948045,39.980818,-82.947813
696,46,0.56,84.0,0,39.980818,-82.947813,39.980828,-82.947558
697,45,-0.28,84.0,0,39.980828,-82.947558,39.980837,-82.947307
698,45,0.0,84.0,0,39.980837,-82.947307,39.980845,-82.947055
699,46,0.28,84.0,0,39.980845,-82.947055,39.980855,-82.946808
700,47,0.28,84.0,0,39.980855,-82.946808,39.98087,-82.946563
701,46,-0.28,84.0,0,39.98087,-82.946563,39.980883,-82.94632
702,45,-0.28,84.0,0,39.980883,-82.94632,39.980895,-82.946078
703,43,-0.83,84.0,0,39.980895,-82.946078,39.980903,-82.945837
704,42,-0.56,84.0,0,39.980903,-82.945837,39.980917,-82.945607
705,41,-0.56,84.0,0,39.980917,-82.945607,39.980927,-82.945385
706,39,-1.11,84.0,0,39.980927,-82.945385,39.980932,-82.945175
707,37,-0.83,84.0,0,39.980932,-82.945175,39.980938,-82.944968
708,35,-0.56,84.0,0,39.980938,-82.944968,39.980945,-82.94477
709,34,-0.83,84.0,0,39.980945,-82.94477,39.980953,-82.944585
710,31,-1.11,84.0,0,39.980953,-82.944585,39.980958,-82.944405
711,30,-0.28,84.0,0,39.980958,-82.944405,39.980962,-82.944233
712,30,-0.28,84.0,0,39.980962,-82.944233,39.980968,-82.944063
713,30,0.0,84.0,0,39.980968,-82.944063,39.980977,-82.9439
714,30,0.28,84.0,0,39.980977,-82.9439,39.980987,-82.943737
715,31,0.28,84.0,0,39.980987,-82.943737,39.980997,-82.94357
716,31,0.0,84.0,0,39.980997,-82.94357,39.98101,-82.943405
717,32,0.28,84.0,0,39.98101,-82.943405,39.981028,-82.94324
718,31,-0.28,78.0,6,39.981028,-82.94324,39.981048,-82.943063
719,32,0.28,78.0,0,39.981048,-82.943063,39.981078,-82.942902
720,33,0.56,78.0,0,39.981078,-82.942902,39.98111,-82.942733
721,34,0.28,78.0,0,39.98111,-82.942733,39.981152,-82.94256
722,35,0.56,72.0,6,39.981152,-82.94256,39.981223,-82.942413
723,35,0.0,66.0,6,39.981223,-82.942413,39.981282,-82.942248
724,35,0.0,66.0,0,39.981282,-82.942248,39.981342,-82.942087
725,34,-0.28,66.0,0,39.981342,-82.942087,39.981405,-82.941925
726,35,0.28,60.0,6,39.981405,-82.941925,39.981473,-82.941767
727,35,0.0,60.0,0,39.981473,-82.941767,39.98155,-82.941618
728,34,-0.28,60.0,0,39.98155,-82.941618,39.981622,-82.941462
729,34,0.0,60.0,0,39.981622,-82.941462,39.981693,-82.941318
730,32,-0.83,60.0,0,39.981693,-82.941318,39.981767,-82.94118
